ID,sleep_hours,inbed_hours,sleep_efficiency,Steps,Distance_miles,Calories_burned,time_sedentary_mins,Day
p4,7.916666666666667,8.316666666666666,0.9519038076152304,980,0.680000007152557,2221,941,4
p4,4.933333333333334,5.25,0.9396825396825397,3761,2.59999990463257,2638,1058,15
p4,2.7666666666666666,2.966666666666667,0.9325842696629213,1675,1.1599999666214,2351,1167,17
p5,8.383333333333333,9.1,0.9212454212454212,4414,2.74000000953674,1459,706,1
p5,8.85,9.416666666666666,0.9398230088495575,4993,3.09999990463257,1521,663,2
p5,9.083333333333334,9.466666666666667,0.9595070422535211,3335,2.0699999332428,1431,653,3
p5,8.716666666666667,9.55,0.912739965095986,3821,2.36999988555908,1444,687,4
p5,8.733333333333333,9.45,0.9241622574955908,2547,1.58000004291534,1373,728,5
p5,7.283333333333333,8.3,0.8775100401606426,838,0.519999980926514,1214,1053,6
p5,8.3,9.0,0.9222222222222223,2424,1.5,1356,785,8
p5,7.683333333333334,8.5,0.903921568627451,7222,4.48000001907349,1667,623,9
p5,7.95,8.566666666666666,0.9280155642023347,2467,1.52999997138977,1370,749,10
p5,8.666666666666666,9.083333333333334,0.9541284403669725,2915,1.80999994277954,1399,712,11
p5,8.7,9.233333333333333,0.9422382671480144,12357,7.71000003814697,1916,458,12
p5,9.25,9.85,0.9390862944162437,3490,2.16000008583069,1401,704,13
p5,8.433333333333334,8.85,0.9529190207156308,6017,3.73000001907349,1576,821,14
p5,8.466666666666667,9.083333333333334,0.9321100917431193,6088,3.76999998092651,1593,586,16
p5,8.55,9.083333333333334,0.9412844036697248,6375,3.95000004768372,1649,626,17
p5,8.166666666666666,8.5,0.9607843137254902,7604,4.71000003814697,1692,492,18
p5,9.55,10.116666666666667,0.943986820428336,4729,2.9300000667572,1506,594,19
p5,8.783333333333333,9.1,0.9652014652014652,3609,2.27999997138977,1447,716,20
p5,8.516666666666667,9.05,0.9410681399631676,7018,4.34999990463257,1690,716,21
p5,8.966666666666667,9.333333333333334,0.9607142857142857,6564,4.07000017166138,1658,530,23
p5,7.8,8.083333333333334,0.9649484536082474,12167,7.53999996185303,1926,479,24
p5,8.733333333333333,9.133333333333333,0.9562043795620438,8198,5.07999992370605,1736,511,25
p5,8.516666666666667,8.683333333333334,0.980806142034549,4193,2.59999990463257,1491,665,26
p5,9.016666666666667,9.466666666666667,0.9524647887323944,5528,3.45000004768372,1555,610,27
p5,8.85,9.266666666666667,0.9550359712230215,10685,6.61999988555908,1869,543,28
p5,5.95,6.333333333333333,0.9394736842105263,254,0.159999996423721,1141,1002,29
p5,8.716666666666667,9.216666666666667,0.945750452079566,8580,5.32000017166138,1698,569,30
p5,7.6,8.083333333333334,0.9402061855670103,8891,5.51000022888184,1364,330,31
p6,1.0166666666666666,1.15,0.8840579710144928,5079,3.42000007629395,1804,1129,12
p7,7.783333333333333,8.85,0.879472693032015,10352,7.01000022888184,2038,676,2
p7,7.416666666666667,8.15,0.9100204498977505,10129,6.69999980926514,2010,705,3
p7,7.533333333333333,8.4,0.8968253968253969,10465,6.92000007629395,2133,720,4
p7,9.266666666666667,10.033333333333333,0.9235880398671097,5472,3.61999988555908,1882,508,6
p7,8.333333333333334,9.283333333333333,0.8976660682226212,8247,5.44999980926514,1944,678,7
p7,7.75,8.566666666666666,0.9046692607003891,6711,4.44000005722046,2346,648,8
p7,7.666666666666667,8.066666666666666,0.9504132231404959,10080,6.75,2048,761,10
p7,6.75,7.683333333333334,0.8785249457700651,7804,5.15999984741211,1946,781,11
p7,6.233333333333333,6.433333333333334,0.9689119170984456,16901,11.3699998855591,2629,591,12
p7,7.366666666666666,7.65,0.9629629629629629,9471,6.26000022888184,2187,584,13
p7,7.216666666666667,7.85,0.9193205944798302,9482,6.38000011444092,2095,653,14
p7,7.266666666666667,8.166666666666666,0.889795918367347,5980,3.95000004768372,1861,732,15
p7,7.466666666666667,8.316666666666666,0.8977955911823647,11423,7.57999992370605,2194,623,16
p7,6.8,7.5,0.9066666666666666,5439,3.59999990463257,1854,764,17
p7,6.85,7.883333333333334,0.86892177589852,42,0.0299999993294477,403,2,18
p8,4.566666666666666,7.816666666666666,0.5842217484008528,8856,5.98000001907349,1450,777,1
p8,4.916666666666667,7.6,0.6469298245614035,10035,6.71000003814697,1495,754,2
p8,4.85,6.616666666666666,0.7329974811083123,7641,5.1100001335144,1433,801,3
p8,7.066666666666666,9.266666666666667,0.762589928057554,9010,6.05999994277954,1468,644,4
